,date,location,news title,news source(url),content summary,keywords,class_name
0,12/2020,"Also, there are two types of insects ","Root Awakening: Wild Cape Gooseberry, Chinese Violet and beetle grubs",https://www.straitstimes.com/life/home-design/root-awakening-16,"Also, there are two types of insects - one white and the other black - growing on my curry leaf plant, leaving small holes on the leaves.
The leaves of the plant have tiny yellow spots and may be infested by spider mites.
Based on the second and third pictures, it appears that your curry leaves are infested with tortoise beetle.
Try to spray such pesticides during the later part of the day to avoid affecting pollinators and other beneficial insects.
Chinese Violet produces edible leaves","edible, leaves, violet, chinese, beetle, grubs, spots, seeds, plant, root, wild, infested, cape, growing, awakening, white, pests, flowers, gooseberry",Pest and disease outbreaks
1,05/2020,"Video game developer Cash Ong spends his days creating mobile entertainment for others.

But in his own time, he finds joy in something a lot more tangible ",Me And My Car: Beetle nut,https://www.straitstimes.com/lifestyle/motoring/beetle-nut,"He had a 1961 Baja Beetle - a version made for offroad use - when he was studying in Australia in the mid-1990s.
Still, Mr Ong loved the way the Beetle could be customised - something which appealed to him as a design student.
After returning to Singapore and starting work as a website developer in 1998, he went about looking for another Beetle.
The car was, Mr Ong describes, a ""girly shade of Xiao Ding Dang blue"", referring to Doraemon, the blue cat in the Japanese cartoon.
The first time was about three years after he bought it - the work included respraying the car purple, a colour Mr Ong deemed cooler than the Doraemon blue.","doraemon, car, xiao, blue, mr, developer, beetle, work, spent, ong, nut",Pest and disease outbreaks
2,07/2019,"PUEBLA, MEXICO (REUTERS) ",Last Volkswagen Beetle drives into the sunset,https://www.straitstimes.com/world/americas/last-volkswagen-beetle-drives-into-the-sunset,"The Puebla factory, which already produces VW's Tiguan SUV, will make the Tarek SUV in place of the Beetle starting in late 2020, Volkswagen de Mexico chief executive Steffen Reiche said.
The current design was the third version of the Beetle after two earlier cancellations and revivals of the marque.
The ""bug"", as the Beetle was nicknamed, debuted in 1938 as an affordable vehicle commissioned by Adolf Hitler to promote car ownership among Germans.
The 1968 movie The Love Bug, which featured a zany anthropomorphic vehicle, stoked Beetle fever.
Despite its place in popular culture, sales of the Beetle have been lacklustre in recent years.","vehicle, volkswagen, drives, car, reiche, suv, sunset, place, beetle, popular, puebla, mexico",Pest and disease outbreaks
3,10/2019,LONDON (AFP) ,UK museum names blind beetle after climate change activist Greta Thunberg,https://www.straitstimes.com/world/europe/uk-museum-names-blind-beetle-after-climate-change-activist-greta-thunberg,"LONDON (AFP) - Britain's Natural History Museum on Friday (Oct 25) named a tiny, blind and wingless beetle after climate activist Greta Thunberg.
The honey-coloured insect, measuring less than one millimetre, was discovered in the Kenyan capital Nairobi in the 1960s.
But it apparently remained nameless until the venerable London museum's scientific associate Michael Darby stepped in.
Sweden's Thunberg, still only 16, has injected a burst of energy into the climate change movement since launching her first school strikes one year ago.
Mr Max Barclay, a senior curator at the 146-year-old museum, said ""the name of this beetle is particularly poignant"".","young, london, blind, history, names, darby, beetle, greta, museum, change, right, work, natural, britains, climate, wingless, thunberg",Pest and disease outbreaks
4,02/2018,PARIS (AFP) ,'Beetlejuice' - it works for real beetles too,https://www.straitstimes.com/world/beetlejuice-it-works-for-real-beetles-too,"The beetles just shake it off and walk away, according to experiments conducted in Japan and chronicled in the British Royal Society journal Biology Letters.
""All 16 beetles that the toads vomited up were still alive and active,"" lead researcher Shinji Sugiura, a professor at Kobe University, told AFP.
More than 600 species of the bombardier beetle famously marry chemical warfare with pinpoint firepower to ward off their enemies.
In the other corner, at a measly 0.2 grammes, was the beetle Pheropsophus jessoensis, along with several other bombardier species of about the same size.
Given the opportunity, all the toads gobbled up the beetles in a now-you-see-it, now-you-don't flash.","toads, bombardier, beetlejuice, works, torrenticola, chemical, beetles, beetle, species, vomit, toxic, toad, real",Pest and disease outbreaks
5,03/2018,TOKYO (AFP) ,Invasive beetle threatens Japan's famed cherry blossoms,https://www.straitstimes.com/asia/east-asia/invasive-beetle-threatens-japans-famed-cherry-blossoms,"TOKYO (AFP) - Across Japan's capital, delicate pink and white cherry blossoms are emerging, but the famed blooms are facing a potentially mortal enemy, experts say: an invasive foreign beetle.
The beetles live inside cherry and plum trees, stripping them of their bark.
Experts say it may have entered in Japan with imported wood materials.
In January, Japan's Environment Ministry officially designated the beetle an invasive alien species, meaning its import and transfer are banned.
He said beetle larva should be killed with pesticide, and trees with serious infestations should be cut down to save others.","serious, blossoms, cherry, invasive, spread, threatens, say, beetle, famed, trees, japans, experts, tokyo",Pest and disease outbreaks
6,11/2017,"A swarm of beetles, carrying tiny computers as backpacks, could one day be crawling through cracks and crevices in search of survivors during rescue missions.

Researchers from Nanyang Technological University (NTU) have developed what they say is the world's smallest cyborg insect, which they can move right and left, backwards and forward, with the click of a button.

Using a species of darkling beetles that measures just 2cm to 2.5cm long and weighs only 0.5g, the team attached a tiny computer of the same weight on the back of each beetle using beeswax.

With a remote control, they can send electrical pulses to the insect's antennae through implanted silver wire electrodes.

The electric pulses mimic those that the insect would feel when its antennae touch an object, which causes the insect to turn on its escape mechanism.

Sending an electric pulse to its right antenna makes it turn left, and vice versa.

At present, two 1.55",Cyborg beetles in search and rescue missions?,https://www.straitstimes.com/singapore/cyborg-beetles-in-search-and-rescue-missions,"A swarm of beetles, carrying tiny computers as backpacks, could one day be crawling through cracks and crevices in search of survivors during rescue missions.
Using a species of darkling beetles that measures just 2cm to 2.5cm long and weighs only 0.5g, the team attached a tiny computer of the same weight on the back of each beetle using beeswax.
The electric pulses mimic those that the insect would feel when its antennae touch an object, which causes the insect to turn on its escape mechanism.
Sending an electric pulse to its right antenna makes it turn left, and vice versa.
At present, two 1.55-volt coin-cell batteries can operate the tiny computer continuously for up to eight hours.","computer, using, left, beetles, cyborg, rescue, pulses, tiny, right, electric, missions, team, insect, search, turn",Pest and disease outbreaks
7,11/2017,SINGAPORE ,"Beetle with tiny computer backpack is world's smallest cyborg insect, say NTU researchers",https://www.straitstimes.com/singapore/beetle-with-tiny-computer-backpack-is-worlds-smallest-cyborg-insect-say-ntu-researchers,"Researchers from Nanyang Technological University (NTU) have developed what they say is the world's smallest cyborg insect, which they can move right and left, backward and forward, with the click of a button.
Using a species of darkling beetles that measures just 2cm to 2.5cm long and weighs only 0.5g, the team attached a tiny computer of the same weight on the back of each beetle using beewax.
The electric pulses mimic those that the insect would feel when its antennae touch an object, which causes the insect to turn on its escape mechanism.
Sending an electric pulse to its right antenna makes it turn left, and vice-versa.
At present, two 1.55-V coin cell batteries can operate the tiny computer continuously for up to eight hours.","turn, computer, using, left, ntu, cyborg, say, beetle, pulses, tiny, smallest, right, electric, team, insect, worlds, researchers",Pest and disease outbreaks
8,01/2018,"NEW YORK • Mort Walker, the creator of Beetle Bailey, a comic strip about a lazy Army private who malingered his way through seven decades at Camp Swampy to the consternation of his commanding officers and the delight of his fans, died last Saturday at his home in Stamford, Connecticut. He was 94.

Walker's death was confirmed by his son Brian.

Walker had the longest tenure of any cartoonist on an original creation, King Features, which began its syndication of Beetle Bailey in 1950, said in a statement.

""Little did I know when I was drafted that I was going to get almost four years of free research,"" Walker recalled in his collection The Best Of Beetle Bailey (1984).

""The army thoughtfully sent me to a number of places, so that my experiences could be broadest,"" he wrote. ""I was a private, a corporal, a sergeant and a lieutenant and I was a goof",Beetle Bailey creator inspired by college fraternity,https://www.straitstimes.com/lifestyle/entertainment/beetle-bailey-creator-inspired-by-college-fraternity,"Walker had the longest tenure of any cartoonist on an original creation, King Features, which began its syndication of Beetle Bailey in 1950, said in a statement.
""Little did I know when I was drafted that I was going to get almost four years of free research,"" Walker recalled in his collection The Best Of Beetle Bailey (1984).
In 1950, amid the Korean War, the signature character syndicated by King Features was Beetle Bailey, in an army uniform.
In the first sketches showing Beetle Bailey in uniform, this time with an Army cap covering his eyes, he took an aptitude test and asked what his speciality would be.
The cast at Camp Swampy also included Sarge's uniformed canine sidekick Otto and Halftrack's sexy secretary Miss Buxley.","university, creator, college, camp, beetle, character, walker, strip, comic, inspired, bailey, army, swampy, fraternity",Pest and disease outbreaks
9,09/2018,NEW YORK (AFP) ,Volkswagen to end iconic 'Beetle' cars in 2019,https://www.straitstimes.com/world/united-states/volkswagen-to-end-iconic-beetle-cars-in-2019,"NEW YORK (AFP) - Volkswagen announced on Thursday (Sept 13) it would end production of its iconic ""Beetle"" cars in 2019 after adding a pair of final editions of the insect-inspired vehicles.
The curvy-topped sedans, which shook off Nazi origins to become a global auto phenomenon, are being sidelined as Volkswagen emphasizes electric cars and larger family-oriented vehicles.
Volkswagen plans to offer the two final edition models in both coupe and convertible styles.
After the war, the Allied countries eventually made Volkswagen a priority in an effort to revive the German auto industry.
The sedans made their US debut in the 1950s, but sales were weak, in part owing to the company's Nazi origins.","volkswagen, sedans, origins, company, iconic, 2019, say, beetle, nazi, plans, end, final, cars, woebcken",Pest and disease outbreaks
10,12/2016,SINGAPORE (THE NEW PAPER) ,NTU's cyborg beetles: Netizens upset over 'animal torture',https://www.straitstimes.com/singapore/ntus-cyborg-beetles-netizens-upset-over-animal-torture,"SINGAPORE (THE NEW PAPER) - A project involving remote-controlled ""cyborg beetles"" by the Nanyang Technological University (NTU) and the University of California, Berkeley has drawn flak, with some netizens crying foul over the perceived insect abuse.
Led by Assistant Professor Hirotaka Sato from the NTU School of Mechanical and Aerospace Engineering, the project was recently featured by US online magazine Motherboard.
In the video, Dr Sato says the project's purpose is to ""control the flight of the beetle"", which will be used for ""peaceful applications"" like finding trapped people using heat signatures.
Each muscle of the beetle is stimulated ""like a robot"".
Dr Sato said: ""It struggles, but it still obeys the signals.""","animal, video, university, dr, upset, flight, torture, cyborg, ntus, beetles, ntu, beetle, sato, project, netizens, control",Pest and disease outbreaks
